full_name,e,a,q,i,om,w,ma,ad,n,tp,per,moid,class,neo,pha,albedo,GM,BV,UB,IR,spec_B,spec_T
"    11 Parthenope",.09888675845808058,2.452659237390897,2.210123715803043,4.625963542228074,125.5967573214501,195.121024014756,332.2861927014316,2.695194758978751,.2565950381188833,2456108.506014074708,1402.988937896796,1.19719,MBA,N,N,0.1803,,.837,.417,,Sk,S
"    12 Victoria",.2210903048638994,2.333563408474099,1.817635163075321,8.369228891358611,235.4900787247288,69.70162605985668,134.4351043355847,2.849491653872878,.2764869671181019,2455514.274172660513,1302.050522497957,.822738,MBA,N,N,0.1765,,.874,.515,,L,S
"    13 Egeria",.08484342317211033,2.578150976657051,2.359411822342947,16.5455083520081,43.26906490804001,79.74787983959314,288.8620514713528,2.796890130971155,.2380902191653404,2456299.285682074768,1512.031872884287,1.43837,MBA,N,N,0.0825,,.745,.452,,Ch,G
"    14 Irene",.1656876540248582,2.587353627028946,2.158661074433812,9.117219835685333,86.16448406742686,97.74447801910433,268.8822787173697,3.01604617962408,.2368210971654551,2456385.253395593683,1520.134837262771,1.1832,MBA,N,N,0.159,,.833,.388,,S,S
"    15 Eunomia",.1883148819124613,2.642854319460558,2.145165520379505,11.73852831687414,293.1980860434351,97.59159768870501,48.09276167102208,3.140543118541612,.2294004350855303,2455790.854531572309,1569.308270342977,1.18853,MBA,N,N,0.2094,,.839,.451,,S,S
"    16 Psyche",.1372277426891645,2.92150383419588,2.52059245777144,3.099015105853765,150.2992138074958,227.0468408783776,137.4995224269131,3.32241521062032,.1973760180014365,2455303.862567452787,1823.92979474021,1.52332,MBA,N,N,0.1203,4.49,.729,.299,,X,M
"    17 Thetis",.1342072224838459,2.470264072524976,2.138736792549765,5.588158809130113,125.5914218361664,135.5040234624514,4.305462807353702,2.801791352500187,.2538569166640218,2455983.539805005384,1418.12169126933,1.12717,MBA,N,N,0.1715,,.829,.438,,Sl,S
"    18 Melpomene",.2181287050755079,2.296033006090826,1.795202299661608,10.12695390620097,150.5010020994592,227.9519610689051,250.4082411528672,2.796863712520044,.2832936784609443,2456387.348585688584,1270.766089648664,.812476,MBA,N,N,0.2225,,.854,.425,,S,S
"    19 Fortuna",.1578252028389925,2.442458647987771,2.056977116443249,1.573387780157938,211.2338315934012,182.2975438174245,245.4954770834662,2.827940179532292,.2582041655977286,2456443.965048875033,1394.245515623729,1.06322,MBA,N,N,0.037,,.719,.324,,Ch,G
"    20 Massalia",.1422668903728642,2.409288622291093,2.066526621987018,.7081721327806908,206.1880154178814,256.7449068148682,152.2481966977009,2.752050622595169,.2635547387785075,2455422.827986196253,1365.940152199447,1.08386,MBA,N,N,0.2096,,.854,.463,,S,S
"    21 Lutetia",.1629384285136434,2.43546558797574,2.038634652371917,3.064047957095408,80.89429576407119,250.3679331626271,29.48091453494986,2.832296523579564,.2593170530674905,2455886.813244014550,1388.261958639124,1.0301,MBA,N,N,0.2212,,.686,.189,,Xk,M
"    22 Kalliope",.1004952658751388,2.908731253626133,2.616417532933649,13.7188292258919,66.08249625502572,354.6073794236215,42.03311264206072,3.201044974318617,.1986774960445913,2455788.935462098703,1811.981765258413,1.62993,MBA,N,N,0.1419,0.491,.715,.234,,X,M
"    23 Thalia",.2347330869897007,2.626290010369134,2.009812848904974,10.1147677178203,66.89328198449077,60.75672341804302,93.22589087635642,3.242767171833293,.23157413541032,2455597.925287970213,1554.577756976726,1.04745,MBA,N,N,0.2536,,.859,.442,,S,S
"    24 Themis",.1289328131197871,3.136150994301699,2.731798224237963,.7575402910974266,36.12366989747618,106.9792413644174,253.9530017884261,3.540503764365434,.1774633304144078,2456598.071329039840,2028.588098506533,1.74479,MBA,N,N,0.067,,.684,.336,,B,C
"    25 Phocaea",.2559637035264962,2.399005276917304,1.784947001457943,21.59382756234327,214.2289792998342,90.14432503009535,203.7454078024296,3.013063552376664,.2652511460593396,2456589.581685485402,1357.204315036076,.919949,MBA,N,N,0.2310,,.932,.513,,S,S
"    26 Proserpina",.08971606560320508,2.654283717645737,2.416151825503912,3.564173309225366,45.79743842014491,194.4932320338241,232.2309400316334,2.89241560978756,.2279203270781112,2456561.086506725126,1579.49931283059,1.40376,MBA,N,N,0.1966,,.891,.525,,S,S
"    27 Euterpe",.1727695727767364,2.347092500204205,1.941586331676442,1.583787539218096,94.79876097391269,356.385982254456,342.5969446314288,2.752598668731967,.2740998294525751,2456063.991667993111,1313.390091190434,.958491,MBA,N,N,0.162,,.878,.502,,S,S
"    28 Bellona",.1507603742802542,2.777024022945138,2.358358841860671,9.429883096447504,144.3382048703213,344.4614785378724,78.98243538157088,3.195689204029604,.2129779384380991,2455629.652033488545,1690.315920231485,1.37481,MBA,N,N,0.1763,,.845,.469,,S,S
