pdes,dv,H,a,e,i
2011 WH5,7.352,1.225,1.167,23.2,2.316
2007 XA10,7.352,1.225,1.167,22.9,1.610
2009 SV171,7.352,1.225,1.167,19.6,2.631
1994 US,7.353,1.226,1.167,21.0,2.737
2001 UP,7.355,1.226,1.167,25.7,0.883
1994 CK1,7.355,1.226,1.167,16.9,1.901
2003 BC21,7.355,1.226,1.167,16.1,2.602
2007 UH,7.355,1.226,1.168,22.0,1.173
2004 GA1,7.356,1.226,1.168,17.5,2.437
2012 LE11,7.357,1.226,1.168,18.1,2.807
2004 BG121,7.357,1.226,1.168,19.0,1.613
2007 MH,7.358,1.226,1.168,20.9,1.526
1989 WM,7.358,1.226,1.168,15.6,2.707
2004 RE84,7.358,1.226,1.168,22.2,1.672
2011 GA,7.359,1.227,1.168,21.0,1.803
2011 GP59,7.360,1.227,1.168,24.3,0.869
2003 NP7,7.360,1.227,1.168,18.3,2.180
2005 JT81,7.360,1.227,1.168,20.0,2.834
2010 RA147,7.361,1.227,1.168,19.3,2.158
1959 LM,7.361,1.227,1.168,14.4,1.982
2012 DH4,7.361,1.227,1.168,20.7,2.030
1989 FB,7.362,1.227,1.169,17.1,1.042
2010 OE22,7.363,1.227,1.169,21.3,2.643
2005 RD34,7.363,1.227,1.169,20.3,1.327
2005 NJ1,7.363,1.227,1.169,18.5,2.134
2003 YS17,7.363,1.227,1.169,21.6,0.931
2008 EB85,7.363,1.227,1.169,23.7,1.262
2012 YF8,7.364,1.227,1.169,22.2,1.869
2003 LX5,7.364,1.227,1.169,17.3,2.786
2012 TZ52,7.365,1.228,1.169,20.7,1.642
2000 YK29,7.365,1.228,1.169,18.0,1.376
1997 TD,7.366,1.228,1.169,15.7,2.248
2008 TA1,7.367,1.228,1.169,18.7,1.396
2000 WJ10,7.367,1.228,1.169,20.3,2.069
2006 SG77,7.367,1.228,1.169,20.7,2.814
2004 QQ,7.369,1.228,1.170,16.6,2.247
2004 XB45,7.370,1.228,1.170,26.2,1.550
2005 XB1,7.370,1.228,1.170,22.0,1.131
2001 XT30,7.371,1.228,1.170,16.8,2.740
2011 YG28,7.373,1.229,1.170,21.5,2.801
2011 TJ,7.375,1.229,1.171,21.2,1.939
2011 FQ2,7.375,1.229,1.171,24.0,2.569
2001 WH2,7.375,1.229,1.171,20.1,2.041
2007 UE6,7.376,1.229,1.171,24.0,1.539
2013 CT83,7.376,1.229,1.171,21.2,2.446
2012 VB5,7.376,1.229,1.171,26.1,2.089
1994 TA2,7.376,1.229,1.171,20.3,2.633
1985 WA,7.376,1.229,1.171,18.1,2.843
2009 LU2,7.377,1.230,1.171,22.6,1.413
2003 UD8,7.377,1.230,1.171,16.6,2.727
2011 BA60,7.378,1.230,1.171,22.1,2.591
2001 RA12,7.378,1.230,1.171,18.0,2.036
2005 EF,7.378,1.230,1.171,20.7,1.207
2008 JR26,7.378,1.230,1.171,19.9,1.394
2000 BL19,7.379,1.230,1.171,19.9,2.743
2007 WQ3,7.379,1.230,1.171,20.9,1.371
2005 UK1,7.379,1.230,1.171,18.0,2.500
1991 NT3,7.382,1.230,1.172,16.4,1.820
2010 LR68,7.383,1.230,1.172,18.3,3.036
2009 DP4,7.383,1.231,1.172,23.0,1.646
2002 EU11,7.384,1.231,1.172,21.9,2.345
2002 VQ14,7.384,1.231,1.172,21.1,2.587
2010 WF1,7.385,1.231,1.172,24.4,1.821
2007 GU1,7.385,1.231,1.172,25.0,2.206
2013 GH69,7.385,1.231,1.172,23.1,2.510
2000 QN130,7.385,1.231,1.172,18.1,2.902
1998 QV3,7.385,1.231,1.172,20.5,2.316
2005 QL,7.386,1.231,1.172,18.7,2.444
2008 WA14,7.387,1.231,1.172,23.0,1.263
2010 PM58,7.387,1.231,1.173,21.1,1.371
2001 XT1,7.387,1.231,1.173,18.7,1.528
2012 FF,7.387,1.231,1.173,24.0,1.530
2002 AR4,7.389,1.231,1.173,20.0,3.008
2001 SE270,7.389,1.232,1.173,25.1,1.214
2008 UZ91,7.390,1.232,1.173,22.4,1.551
2006 UP217,7.391,1.232,1.173,24.9,1.202
2000 SE45,7.391,1.232,1.173,16.4,2.740
2008 US,7.392,1.232,1.173,31.6,1.422
2003 WR25,7.393,1.232,1.174,19.6,3.362
2009 UL,7.393,1.232,1.174,22.2,1.243
1998 FM9,7.393,1.232,1.174,19.4,2.286
2000 XF44,7.394,1.232,1.174,21.3,2.546
1998 QH1,7.394,1.232,1.174,20.7,2.539
2003 TL1,7.395,1.232,1.174,19.9,2.572
2000 HZ23,7.395,1.233,1.174,19.9,1.576
2000 EW70,7.396,1.233,1.174,21.3,0.938
2004 AH,7.397,1.233,1.174,19.3,1.995
2011 AL52,7.397,1.233,1.174,17.4,2.812
2001 RW17,7.398,1.233,1.174,19.7,2.348
2009 KC3,7.398,1.233,1.174,18.0,3.208
2012 SH32,7.398,1.233,1.174,22.1,1.922
1993 FA1,7.398,1.233,1.174,25.9,1.426
2006 DB1,7.399,1.233,1.174,20.9,2.615
2007 VM243,7.399,1.233,1.174,21.0,1.073
2000 BO28,7.402,1.234,1.175,19.8,1.698
2007 RA20,7.402,1.234,1.175,20.0,2.163
2006 PY17,7.403,1.234,1.175,19.2,1.897
2000 AA6,7.403,1.234,1.175,22.1,1.287
2013 AP27,7.404,1.234,1.175,19.4,2.387
2009 HZ67,7.404,1.234,1.175,21.2,1.992
2008 UU,7.405,1.234,1.175,24.7,2.779
2012 BF11,7.406,1.234,1.176,21.8,1.259
2002 TX68,7.407,1.235,1.176,18.2,1.674
2005 SW4,7.407,1.235,1.176,20.0,2.704
2007 US6,7.408,1.235,1.176,18.3,2.222
2004 JC,7.408,1.235,1.176,20.5,2.456
2006 CT10,7.408,1.235,1.176,21.2,2.887
2008 RU,7.408,1.235,1.176,22.3,2.118
4788 P-L,7.409,1.235,1.176,16.4,2.637
2010 TD54,7.410,1.235,1.176,28.7,1.999
2011 GP65,7.410,1.235,1.176,20.8,2.365
2010 SJ13,7.411,1.235,1.176,21.0,1.695
2003 WM25,7.411,1.235,1.176,17.6,2.614
2004 BA75,7.412,1.235,1.176,24.4,1.637
2012 KN11,7.412,1.235,1.176,21.9,2.098
2012 VY4,7.412,1.235,1.177,22.3,2.822
2000 SS164,7.412,1.235,1.177,16.4,2.579
2006 WB3,7.412,1.235,1.177,24.4,1.369
2012 FA71,7.413,1.236,1.177,25.4,2.776
2006 JN6,7.415,1.236,1.177,20.4,1.705
2006 QK33,7.415,1.236,1.177,23.9,2.580
2012 FZ44,7.415,1.236,1.177,20.7,1.670
2010 XZ58,7.415,1.236,1.177,23.5,1.392
2005 SC,7.416,1.236,1.177,20.2,2.323
2002 AC3,7.419,1.236,1.178,18.6,1.836
2002 QD7,7.419,1.237,1.178,18.0,2.421
2006 BH99,7.419,1.237,1.178,27.2,1.651
2012 EB,7.420,1.237,1.178,23.8,1.076
2010 GT7,7.421,1.237,1.178,20.2,2.713
2012 XR93,7.421,1.237,1.178,21.8,2.484
2000 QV7,7.421,1.237,1.178,21.4,1.409
2008 XE2,7.422,1.237,1.178,19.2,2.551
2006 UR216,7.424,1.237,1.178,19.7,1.674
2011 HG,7.424,1.237,1.178,21.0,2.683
2010 SC17,7.426,1.238,1.179,22.7,2.372
1991 BA,7.426,1.238,1.179,28.6,2.157
2003 DP13,7.426,1.238,1.179,17.1,2.639
2006 SN198,7.427,1.238,1.179,26.1,1.258
1998 YB8,7.427,1.238,1.179,18.9,2.422
2010 OC,7.427,1.238,1.179,19.1,2.875
2012 MP,7.427,1.238,1.179,21.0,1.330
2004 JB,7.429,1.238,1.179,22.5,2.400
2007 VJ3,7.430,1.238,1.179,24.9,2.128
2011 HS,7.430,1.238,1.179,21.1,2.802
2012 BW61,7.431,1.238,1.179,25.3,1.860
1999 RU2,7.431,1.239,1.180,20.2,2.817
2005 FN,7.431,1.239,1.180,26.9,0.933
2006 JO,7.432,1.239,1.180,25.1,2.377
2009 NA,7.433,1.239,1.180,17.5,2.660
2006 WX3,7.433,1.239,1.180,22.3,2.703
2010 TF55,7.433,1.239,1.180,24.1,2.595
2001 UO,7.433,1.239,1.180,24.1,2.551
1993 VC,7.434,1.239,1.180,20.5,2.774
2007 TG8,7.434,1.239,1.180,18.6,2.648
2011 CX46,7.435,1.239,1.180,22.0,1.474
2011 AH37,7.435,1.239,1.180,19.5,2.547
1999 LU7,7.435,1.239,1.180,18.7,2.101
2011 HH1,7.437,1.239,1.180,21.7,1.905
2012 TA79,7.437,1.239,1.180,18.6,2.325
2006 WP1,7.437,1.240,1.181,28.2,1.706
2012 FB71,7.438,1.240,1.181,24.4,2.655
2011 VT5,7.438,1.240,1.181,25.5,1.667
2009 JG2,7.439,1.240,1.181,22.6,2.035
2004 JX20,7.440,1.240,1.181,19.4,0.902
1990 SQ,7.440,1.240,1.181,12.6,2.001
2007 CZ49,7.440,1.240,1.181,21.0,2.947
1999 AF4,7.441,1.240,1.181,18.2,2.821
2008 HO3,7.441,1.240,1.181,18.1,2.896
2003 FB,7.442,1.240,1.181,18.7,1.473
2009 HS44,7.442,1.240,1.181,26.5,2.571
2004 VW,7.442,1.240,1.181,23.1,1.503
2004 XG,7.442,1.240,1.181,24.2,0.837
2010 GN67,7.443,1.240,1.181,22.2,1.339
2004 HM1,7.443,1.240,1.181,16.8,2.763
2002 PE130,7.443,1.240,1.181,18.2,2.560
1998 MX5,7.443,1.241,1.181,18.5,2.920
2007 VG3,7.444,1.241,1.182,24.6,3.310
2008 UF1,7.445,1.241,1.182,26.0,1.862
2010 LN14,7.445,1.241,1.182,21.1,1.156
2007 UX1,7.445,1.241,1.182,20.4,2.444
2007 UC6,7.446,1.241,1.182,23.1,1.592
1999 JM8,7.447,1.241,1.182,15.2,2.709
2003 SV222,7.447,1.241,1.182,17.6,1.746
2011 AF37,7.448,1.241,1.182,20.8,1.998
1978 DA,7.448,1.241,1.182,17.5,2.517
1997 CZ3,7.448,1.241,1.182,19.6,1.406
2011 CF22,7.450,1.242,1.183,30.9,1.738
2005 XD1,7.450,1.242,1.183,19.4,1.621
2006 BC10,7.451,1.242,1.183,19.4,2.015
2006 VX2,7.452,1.242,1.183,24.9,0.934
2012 FY23,7.452,1.242,1.183,20.0,2.412
2007 TC23,7.453,1.242,1.183,20.5,2.790
2008 CY4,7.455,1.243,1.183,22.4,1.850
2010 GU6,7.455,1.243,1.183,20.7,2.686
1983 LC,7.455,1.243,1.183,19.3,2.617
2008 NO3,7.456,1.243,1.183,18.6,2.789
2008 GF2,7.458,1.243,1.184,24.0,1.851
2012 BY1,7.459,1.243,1.184,25.7,2.094
2002 AO11,7.459,1.243,1.184,22.4,0.917
2002 TD58,7.460,1.243,1.184,23.0,2.497
1998 US18,7.460,1.243,1.184,20.7,2.626
1991 PM5,7.462,1.244,1.184,17.2,1.719
2008 EP6,7.463,1.244,1.185,19.3,1.209
2006 SU19,7.463,1.244,1.185,18.8,1.527
2008 YF3,7.464,1.244,1.185,21.1,1.538
2003 AK73,7.465,1.244,1.185,19.5,2.453
2005 AT42,7.465,1.244,1.185,16.5,2.864
2012 KA,7.465,1.244,1.185,28.6,1.523
2008 EG85,7.465,1.244,1.185,25.0,1.599
2011 EU29,7.466,1.244,1.185,19.8,2.497
2006 UX1,7.466,1.244,1.185,22.1,1.711
2008 TD27,7.467,1.244,1.185,20.0,2.204
2005 AB,7.468,1.245,1.185,17.5,3.218
2005 AX28,7.468,1.245,1.185,25.2,2.154
2009 WB54,7.468,1.245,1.185,26.4,1.369
2008 FT6,7.470,1.245,1.186,17.4,2.138
2012 BT61,7.471,1.245,1.186,19.6,2.451
2005 SW9,7.471,1.245,1.186,19.6,2.010
1932 HA,7.471,1.245,1.186,16.2,1.470
2012 BZ76,7.472,1.245,1.186,18.8,2.410
2010 TX149,7.473,1.245,1.186,22.7,2.470
2000 XH47,7.473,1.246,1.186,19.9,1.526
2008 SN1,7.473,1.246,1.186,19.6,2.662
2011 FC29,7.474,1.246,1.186,20.9,1.122
1999 HZ1,7.474,1.246,1.186,18.0,1.606
2009 CT,7.476,1.246,1.187,19.6,1.853
1997 UZ10,7.477,1.246,1.187,23.0,2.834
2011 ET29,7.477,1.246,1.187,19.1,2.370
2012 TV,7.477,1.246,1.187,25.2,1.502
2007 HW3,7.478,1.246,1.187,20.4,2.620
2012 WB25,7.478,1.246,1.187,19.0,1.959
2011 CU46,7.479,1.246,1.187,25.5,1.408
2010 NK1,7.481,1.247,1.187,22.4,1.015
2010 XO10,7.482,1.247,1.188,20.4,2.020
2011 EW29,7.482,1.247,1.188,20.9,1.633
2005 OD3,7.483,1.247,1.188,21.2,2.374
2012 SG58,7.483,1.247,1.188,23.1,2.851
2009 WE253,7.484,1.247,1.188,17.8,2.593
2001 GS2,7.485,1.247,1.188,20.3,1.780
2010 VJ1,7.485,1.248,1.188,24.1,1.453
1998 BG9,7.486,1.248,1.188,19.3,2.509
2009 BR5,7.489,1.248,1.189,22.1,2.019
2006 YD,7.490,1.248,1.189,17.4,2.624
2013 GU38,7.490,1.248,1.189,20.6,1.579
2012 BB2,7.491,1.249,1.189,20.6,1.669
2005 VT5,7.491,1.249,1.189,19.0,1.450
2006 LF,7.491,1.249,1.189,18.6,2.140
2006 CF,7.492,1.249,1.189,20.3,2.288
2010 JE,7.492,1.249,1.189,20.2,2.777
2006 MT6,7.492,1.249,1.189,19.3,2.809
2012 BM86,7.493,1.249,1.189,21.9,2.148
2010 DG1,7.493,1.249,1.189,24.5,1.937
2005 UZ5,7.493,1.249,1.189,23.6,1.409
2000 WN63,7.494,1.249,1.189,18.9,1.574
2009 HG60,7.494,1.249,1.190,22.7,1.985
2009 DC1,7.494,1.249,1.190,24.0,0.873
2008 US4,7.495,1.249,1.190,20.9,2.334
2011 YY28,7.495,1.249,1.190,21.3,3.404
2010 WC3,7.495,1.249,1.190,22.1,1.224
1990 HA,7.496,1.249,1.190,16.3,2.551
2011 FK1,7.497,1.249,1.190,23.7,0.923
2010 YC1,7.497,1.249,1.190,20.8,1.414
2011 AT26,7.498,1.250,1.190,21.6,2.411
2000 CO33,7.499,1.250,1.190,21.1,2.323
2004 TL19,7.499,1.250,1.190,20.8,2.518
2011 VR5,7.499,1.250,1.190,18.1,2.499
2013 DA,7.500,1.250,1.190,23.9,1.418
2006 DD1,7.500,1.250,1.191,26.5,2.291
2011 GE62,7.501,1.250,1.191,24.1,2.306
2005 MW1,7.501,1.250,1.191,19.5,2.862
2001 XS1,7.502,1.250,1.191,18.8,2.672
2012 YJ8,7.502,1.250,1.191,20.6,2.448
2011 CD22,7.502,1.250,1.191,22.3,1.291
2001 SD348,7.502,1.250,1.191,18.8,1.885
2002 NW16,7.503,1.250,1.191,18.0,1.109
2010 TD,7.503,1.250,1.191,26.8,2.175
2011 EK47,7.504,1.251,1.191,23.9,0.912
2001 BX15,7.504,1.251,1.191,21.5,1.988
2008 DH5,7.506,1.251,1.191,24.2,1.519
1997 GC32,7.506,1.251,1.191,18.5,2.032
2006 EF71,7.506,1.251,1.191,19.0,2.441
2011 HJ7,7.506,1.251,1.191,22.1,1.249
2003 WO25,7.507,1.251,1.192,18.1,1.557
2012 SY2,7.508,1.251,1.192,22.1,2.565
1911 MT,7.508,1.251,1.192,15.4,2.629
2005 WC,7.508,1.251,1.192,25.2,1.078
2009 AF16,7.509,1.252,1.192,21.2,2.189
2002 FU5,7.511,1.252,1.192,21.0,2.508
2007 EY,7.511,1.252,1.192,19.8,2.347
2002 RW25,7.511,1.252,1.192,18.9,0.825
1995 SD1,7.511,1.252,1.192,20.6,2.786
2009 CW1,7.511,1.252,1.192,21.7,2.297
1995 SB,7.512,1.252,1.192,22.2,1.321
2004 TN1,7.512,1.252,1.192,21.8,2.744
2005 JU1,7.513,1.252,1.192,21.6,2.341
1998 KM3,7.513,1.252,1.192,19.6,1.672
2011 CK50,7.513,1.252,1.193,24.1,0.875
2004 ST9,7.513,1.252,1.193,18.0,2.246
2007 VX7,7.513,1.252,1.193,19.5,1.877
2012 DY13,7.515,1.253,1.193,27.9,1.460
2000 EF104,7.515,1.253,1.193,18.9,1.148
1998 QA105,7.517,1.253,1.193,21.5,2.698
2011 DX4,7.517,1.253,1.193,26.4,1.986
2010 HG20,7.518,1.253,1.193,21.5,1.138
2012 EH5,7.518,1.253,1.193,24.5,0.981
2006 SA218,7.519,1.253,1.193,18.2,1.478
2012 GW11,7.519,1.253,1.194,26.4,1.615
2007 DK,7.520,1.253,1.194,19.4,1.396
2008 GU3,7.522,1.254,1.194,22.3,2.425
2007 VF184,7.522,1.254,1.194,25.4,1.214
2008 XX2,7.523,1.254,1.194,21.5,2.550
2010 TM54,7.525,1.254,1.195,23.9,1.619
2002 UO,7.526,1.254,1.195,19.2,1.209
2010 JN71,7.526,1.254,1.195,21.4,2.385
2006 OD5,7.526,1.254,1.195,19.5,2.668
2010 EW45,7.527,1.255,1.195,17.7,2.063
2011 AM16,7.529,1.255,1.195,22.2,2.350
2010 VB,7.529,1.255,1.195,25.6,0.923
2005 UW3,7.531,1.255,1.195,24.2,1.188
2008 SQ1,7.532,1.255,1.196,18.5,2.956
1998 HD14,7.532,1.255,1.196,20.9,0.963
2009 AD16,7.533,1.255,1.196,20.6,2.624
2002 LR24,7.533,1.256,1.196,24.3,1.254
2008 OP8,7.533,1.256,1.196,19.7,2.208
2002 VY94,7.534,1.256,1.196,16.8,3.240
1993 PC,7.534,1.256,1.196,18.1,1.153
2012 BG14,7.534,1.256,1.196,25.0,1.437
2011 EW73,7.535,1.256,1.196,23.7,1.370
2001 RP17,7.536,1.256,1.196,17.7,2.639
2006 SX217,7.536,1.256,1.196,18.8,1.411
2001 RX17,7.537,1.256,1.196,20.0,2.615
2006 WV29,7.537,1.256,1.196,26.5,1.383
2009 RM,7.538,1.256,1.197,18.3,2.788
1999 FN53,7.539,1.256,1.197,18.3,1.735
1999 XK136,7.539,1.257,1.197,20.3,2.384
2003 GS,7.540,1.257,1.197,19.0,0.893
2009 SU104,7.541,1.257,1.197,25.6,2.515
2008 BQ16,7.541,1.257,1.197,19.4,1.957
2007 UK40,7.541,1.257,1.197,23.4,1.438
1998 QH28,7.541,1.257,1.197,22.9,2.580
2012 FJ15,7.542,1.257,1.197,22.8,2.414
1998 HT31,7.543,1.257,1.197,20.8,2.531
1987 UA,7.543,1.257,1.197,17.4,1.730
1998 FR11,7.543,1.257,1.197,16.3,2.795
2013 AG69,7.545,1.258,1.198,27.3,1.473
2011 KN17,7.547,1.258,1.198,22.6,2.243
1999 GS6,7.548,1.258,1.198,19.2,1.191
2010 JH3,7.548,1.258,1.198,25.3,1.757
1998 QR15,7.549,1.258,1.198,18.1,2.766
2008 CJ22,7.549,1.258,1.198,25.5,1.443
2002 CT46,7.551,1.259,1.199,20.9,2.364
2007 SN6,7.552,1.259,1.199,25.2,2.356
2006 HF6,7.553,1.259,1.199,24.4,1.407
1990 TG1,7.554,1.259,1.199,14.8,2.437
2007 SG11,7.554,1.259,1.199,22.6,0.835
2012 QW17,7.554,1.259,1.199,23.6,2.437
2010 AG30,7.555,1.259,1.199,27.1,2.265
2013 BP15,7.555,1.259,1.199,24.3,1.038
2005 UF1,7.556,1.259,1.199,20.5,2.185
2001 OF25,7.556,1.259,1.199,21.4,1.628
2012 QP17,7.557,1.260,1.200,18.6,2.862
2012 FR35,7.560,1.260,1.200,21.7,2.533
1994 CB,7.560,1.260,1.200,21.0,1.150
2013 FL9,7.560,1.260,1.200,23.1,1.332
2004 BX58,7.563,1.260,1.200,19.7,2.823
2010 EJ43,7.563,1.260,1.200,21.1,1.148
2010 OQ1,7.563,1.261,1.201,19.1,2.145
2012 TW78,7.564,1.261,1.201,21.5,2.344
2006 NM,7.564,1.261,1.201,16.3,2.781
2003 SL215,7.565,1.261,1.201,20.6,2.717
2012 LJ,7.567,1.261,1.201,25.6,2.326
2004 YC,7.567,1.261,1.201,25.6,0.868
2012 VE6,7.568,1.261,1.201,23.5,1.574
2009 QA35,7.568,1.261,1.201,22.4,2.652
2011 AX22,7.569,1.261,1.201,24.7,0.967
2006 VJ,7.569,1.261,1.201,21.7,1.468
2007 VT6,7.569,1.262,1.201,20.3,1.949
2011 EL40,7.570,1.262,1.202,26.4,2.437
2002 YB12,7.571,1.262,1.202,18.6,1.687
2006 SP198,7.572,1.262,1.202,21.7,2.934
2005 GK141,7.573,1.262,1.202,22.4,2.764
2008 HV4,7.574,1.262,1.202,19.6,1.426
2002 AF3,7.574,1.262,1.202,17.7,1.907
1953 RA,7.575,1.263,1.202,14.9,2.273
2003 UG22,7.576,1.263,1.202,21.4,1.424
2003 CL18,7.576,1.263,1.202,20.6,2.544
1999 VN6,7.576,1.263,1.202,19.5,1.733
2013 CZ,7.577,1.263,1.203,23.4,1.385
1999 LP28,7.578,1.263,1.203,20.0,1.219
2010 TP19,7.578,1.263,1.203,23.7,1.679
2011 WU74,7.579,1.263,1.203,26.3,2.110
2004 RO111,7.579,1.263,1.203,23.4,0.961
2005 ST1,7.580,1.263,1.203,20.4,1.451
2003 FS2,7.580,1.263,1.203,18.8,2.413
2006 FV35,7.580,1.263,1.203,21.7,1.001
2007 JY2,7.580,1.263,1.203,21.7,2.201
2011 CE50,7.580,1.263,1.203,23.2,1.011
2009 WZ104,7.580,1.263,1.203,20.0,0.856
2007 BE49,7.580,1.263,1.203,21.3,1.567
2008 YE3,7.580,1.263,1.203,20.9,1.549
2012 KO11,7.580,1.263,1.203,24.6,1.062
2012 TT231,7.580,1.263,1.203,23.3,1.954
2011 YV15,7.581,1.264,1.203,17.2,2.844
2000 RJ34,7.581,1.264,1.203,15.3,2.634
2005 YR3,7.581,1.264,1.203,23.1,0.820
2009 LX,7.581,1.264,1.203,19.3,2.834
2004 DA53,7.583,1.264,1.204,28.0,0.884
2001 DC77,7.583,1.264,1.204,19.5,2.556
2009 KE3,7.584,1.264,1.204,18.2,2.649
2009 UV18,7.584,1.264,1.204,16.0,3.173
2004 XL4,7.584,1.264,1.204,20.9,1.869
2002 LD31,7.585,1.264,1.204,21.2,1.464
2004 HE,7.585,1.264,1.204,26.8,1.774
2012 DK14,7.586,1.264,1.204,23.9,1.651
2005 XN,7.586,1.264,1.204,24.3,1.755
2006 WL3,7.586,1.264,1.204,20.0,1.358
2003 RM,7.587,1.264,1.204,19.7,2.916
1990 VB,7.587,1.264,1.204,16.0,2.441
2007 TT18,7.587,1.264,1.204,23.0,2.339
2011 KR12,7.587,1.265,1.204,21.4,1.007
2013 EZ108,7.588,1.265,1.204,22.0,2.471
2003 LS3,7.588,1.265,1.204,17.8,2.654
2011 OM5,7.588,1.265,1.205,21.0,2.594
2004 JO2,7.589,1.265,1.205,17.3,2.290
2007 YN1,7.589,1.265,1.205,25.0,2.687
2009 DA1,7.589,1.265,1.205,22.3,2.570
2004 VY14,7.590,1.265,1.205,20.1,1.956
2001 QK153,7.590,1.265,1.205,20.6,2.438
2011 QS2,7.590,1.265,1.205,20.7,1.678
2003 YE45,7.590,1.265,1.205,17.6,1.235
1998 SH2,7.590,1.265,1.205,20.9,2.704
2008 XK1,7.591,1.265,1.205,23.6,1.326
2004 YC5,7.591,1.265,1.205,18.1,1.929
2000 WN107,7.591,1.265,1.205,16.0,2.150
2011 WR69,7.592,1.265,1.205,24.6,1.301
2012 OC1,7.593,1.266,1.205,17.5,2.722
2012 RT16,7.594,1.266,1.205,26.9,0.934
2008 RJ1,7.594,1.266,1.205,17.9,2.170
2010 UE,7.594,1.266,1.205,29.6,2.821
2008 YU32,7.595,1.266,1.206,20.2,1.537
2002 VO85,7.595,1.266,1.206,21.6,1.329
2004 XN29,7.595,1.266,1.206,22.0,2.425
2008 XH,7.595,1.266,1.206,22.7,1.348
1998 KK17,7.596,1.266,1.206,16.3,1.427
2010 XB73,7.597,1.266,1.206,21.8,3.518
2002 TH68,7.599,1.266,1.206,21.5,1.435
2005 GY8,7.599,1.267,1.206,21.9,2.047
2010 FP,7.601,1.267,1.207,20.8,2.950
2001 RU17,7.601,1.267,1.207,21.1,0.959
2010 SO16,7.601,1.267,1.207,20.5,1.001
2002 RV112,7.602,1.267,1.207,17.4,2.220
2010 YH,7.602,1.267,1.207,20.0,2.211
2000 BG19,7.602,1.267,1.207,17.9,2.658
2012 PS17,7.603,1.267,1.207,20.0,2.494
2013 AA2,7.605,1.268,1.207,18.2,2.852
2004 LV,7.606,1.268,1.207,24.1,1.676
2008 OS7,7.607,1.268,1.207,20.5,1.908
2009 JM2,7.609,1.268,1.208,19.4,2.402
2009 EV,7.609,1.268,1.208,19.9,1.728
2009 WJ6,7.610,1.268,1.208,27.4,1.767
1998 BX7,7.610,1.268,1.208,16.2,2.606
2001 TC,7.611,1.268,1.208,20.7,2.311
1988 VP4,7.611,1.268,1.208,15.7,2.263
2003 SW222,7.612,1.269,1.208,17.1,1.661
2004 VD17,7.612,1.269,1.208,18.8,1.508
1990 SS,7.612,1.269,1.208,18.5,1.703
2010 BT3,7.613,1.269,1.208,21.4,2.575
2000 VJ61,7.614,1.269,1.208,15.8,2.185
2008 BN16,7.614,1.269,1.209,26.0,2.154
2013 AE4,7.615,1.269,1.209,20.9,2.770
2011 YV62,7.615,1.269,1.209,21.0,1.636
2005 NE7,7.616,1.269,1.209,19.0,2.047
2008 NA,7.616,1.269,1.209,23.7,0.962
2001 UF5,7.619,1.270,1.209,22.7,2.300
2004 SA,7.619,1.270,1.209,26.1,2.263
2004 FH,7.619,1.270,1.209,25.7,0.818
2005 BM1,7.620,1.270,1.209,25.4,1.011
2001 XG105,7.621,1.270,1.210,21.8,1.503
1999 MM,7.622,1.270,1.210,19.3,1.624
2011 YE6,7.622,1.270,1.210,20.8,2.810
2009 DJ46,7.623,1.271,1.210,25.6,1.270
2003 EO16,7.626,1.271,1.211,20.5,0.935
2008 KV28,7.628,1.271,1.211,20.3,1.704
2005 AQ19,7.629,1.271,1.211,21.4,1.737
2011 VW5,7.629,1.271,1.211,18.7,2.388
2010 FR,7.629,1.271,1.211,21.6,1.132
2002 VO69,7.629,1.272,1.211,22.9,1.439
2004 RV2,7.629,1.272,1.211,20.7,1.391
2010 WP8,7.630,1.272,1.211,18.4,2.003
2001 XX103,7.630,1.272,1.211,23.6,2.042
2012 CS,7.631,1.272,1.211,23.1,2.380
2007 LR32,7.632,1.272,1.211,17.2,2.623
2013 AU76,7.633,1.272,1.212,18.2,2.795
2000 YL29,7.633,1.272,1.212,16.7,1.536
2000 EC14,7.633,1.272,1.212,20.5,2.636
2006 WK3,7.634,1.272,1.212,20.1,1.647
2010 CC180,7.635,1.272,1.212,18.7,1.873
2012 UV158,7.635,1.273,1.212,24.4,1.524
2000 WL10,7.636,1.273,1.212,18.1,3.143
2005 TG,7.636,1.273,1.212,18.1,2.670
2010 RF42,7.636,1.273,1.212,25.1,0.924
2001 XU30,7.637,1.273,1.212,19.6,2.192
2005 EY169,7.637,1.273,1.212,22.1,1.308
2010 UB7,7.637,1.273,1.212,22.2,2.679
2009 VW,7.638,1.273,1.212,21.7,1.439
2000 VH61,7.639,1.273,1.213,19.2,2.755
2000 OH,7.641,1.273,1.213,17.4,2.428
2010 TS19,7.641,1.273,1.213,25.7,2.388
2009 LQ,7.644,1.274,1.213,21.7,1.554
2011 BF40,7.644,1.274,1.213,24.8,2.782
2004 XJ,7.645,1.274,1.214,24.0,0.887
2001 CB32,7.646,1.274,1.214,17.8,1.782
2011 KQ12,7.646,1.274,1.214,19.5,1.811
2003 OA3,7.646,1.274,1.214,19.6,1.805
2011 CD50,7.646,1.274,1.214,25.1,1.102
2009 FT23,7.646,1.274,1.214,25.9,1.198
2000 WP19,7.647,1.274,1.214,22.6,0.854
2007 EK26,7.648,1.275,1.214,25.0,1.848
2012 CT,7.648,1.275,1.214,21.4,2.308
